#	VACF	MSD
   -0.0588    0.9855
   -0.0563    0.9874
   -0.0537    0.9893
   -0.0503    0.9912
   -0.0458    0.9931
   -0.0397    0.9950
   -0.0318    0.9969
   -0.0221    0.9989
   -0.0108    1.0008
    0.0021    1.0028
    0.0162    1.0047
    0.0314    1.0067
    0.0473    1.0087
    0.0636    1.0107
    0.0797    1.0127
    0.0953    1.0148
    0.1098    1.0168
    0.1230    1.0188
    0.1342    1.0209
    0.1432    1.0230
    0.1497    1.0251
    0.1533    1.0273
    0.1542    1.0295
    0.1523    1.0317
    0.1479    1.0341
    0.1414    1.0364
    0.1328    1.0388
    0.1223    1.0413
    0.1101    1.0439
    0.0962    1.0465
    0.0809    1.0492
    0.0645    1.0519
    0.0474    1.0546
    0.0300    1.0574
    0.0127    1.0601
   -0.0042    1.0629
   -0.0202    1.0657
   -0.0349    1.0684
   -0.0478    1.0712
   -0.0584    1.0739
   -0.0662    1.0767
   -0.0710    1.0794
   -0.0727    1.0821
   -0.0715    1.0848
   -0.0676    1.0875
   -0.0616    1.0902
   -0.0541    1.0929
   -0.0461    1.0956
   -0.0385    1.0982
   -0.0319    1.1009
   -0.0270    1.1035
   -0.0238    1.1062
   -0.0223    1.1089
   -0.0224    1.1116
   -0.0239    1.1143
   -0.0271    1.1170
   -0.0317    1.1197
   -0.0376    1.1224
   -0.0446    1.1251
   -0.0523    1.1279
   -0.0604    1.1307
   -0.0683    1.1335
   -0.0754    1.1363
   -0.0814    1.1391
   -0.0857    1.1420
   -0.0883    1.1448
   -0.0890    1.1477
   -0.0881    1.1506
   -0.0858    1.1534
   -0.0825    1.1562
   -0.0786    1.1590
   -0.0743    1.1618
   -0.0698    1.1645
   -0.0650    1.1671
   -0.0601    1.1697
   -0.0554    1.1723
   -0.0512    1.1749
   -0.0478    1.1774
   -0.0455    1.1799
   -0.0444    1.1824
   -0.0449    1.1849
   -0.0473    1.1873
   -0.0518    1.1898
   -0.0586    1.1922
   -0.0673    1.1946
   -0.0771    1.1969
   -0.0870    1.1992
   -0.0957    1.2015
   -0.1023    1.2037
   -0.1059    1.2058
   -0.1062    1.2079
   -0.1036    1.2100
   -0.0985    1.2120
   -0.0917    1.2139
   -0.0840    1.2159
   -0.0763    1.2178
   -0.0692    1.2197
   -0.0628    1.2216
   -0.0573    1.2234
   -0.0522    1.2253
   -0.0469    1.2271
   -0.0410    1.2290
   -0.0340    1.2308
   -0.0256    1.2326
   -0.0159    1.2345
   -0.0053    1.2363
    0.0057    1.2382
    0.0165    1.2401
    0.0267    1.2421
    0.0361    1.2442
    0.0444    1.2462
    0.0517    1.2484
    0.0576    1.2506
    0.0621    1.2528
