ITEM: TIMESTEP
1
ITEM: NUMBER OF ATOMS
1372
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
ITEM: ATOMS id vx vy vz 
331 0.0456319 -0.955769 0.261719 
332 -0.265025 1.39147 1.15092 
333 0.742883 0.288324 -0.283831 
334 0.147116 0.681795 -1.28012 
335 -0.674561 -1.63077 0.620621 
336 0.537488 -0.795987 -0.641144 
337 1.81435 0.269458 -1.77319 
338 -1.22007 -0.338644 -1.84739 
339 0.43614 -0.0853824 -1.08323 
340 0.198112 -1.37564 -1.06975 
341 0.368437 2.41126 0.196506 
342 0.185555 -0.11786 -0.320384 
343 0.677976 -0.0968428 0.0484777 
344 -0.912883 0.766245 1.49957 
345 2.01459 0.869991 1.11218 
346 0.0654338 0.0659162 0.870126 
347 -1.34422 -0.0970075 0.604973 
348 -0.56837 2.22947 -1.48518 
349 -0.0211038 -0.874656 -0.178921 
350 -0.381736 -0.0262019 -0.625129 
351 0.418735 -0.384194 -0.0307614 
352 -1.3348 -1.23092 2.70772 
353 0.473373 2.07547 1.83619 
354 1.80824 -0.286852 -0.83905 
355 2.27381 1.82446 0.592498 
356 0.221689 -1.16165 1.34762 
357 0.918959 0.515422 -0.43689 
358 -0.149627 1.19139 0.0478501 
359 -0.774017 -0.220389 -0.938514 
360 -0.503474 1.05361 0.362702 
361 -1.61674 -1.09185 0.222009 
362 2.19324 1.62896 -0.313542 
363 -0.0975247 0.15379 1.4876 
364 0.236325 -0.145198 -1.32152 
365 -0.13177 -0.0351573 -0.978963 
366 1.83993 0.767231 0.982548 
367 -0.561152 0.751801 0.201851 
368 0.0463037 -0.946255 -1.00564 
369 -0.79153 -1.5436 -0.0161669 
370 -0.863646 -1.92127 0.579753 
371 1.29869 -1.16823 -1.37952 
372 -1.03144 -0.159213 0.577521 
373 0.182738 -0.794806 1.36374 
374 -0.21601 -1.70504 0.846871 
375 0.827285 1.73106 -1.15663 
376 -0.357148 -0.387991 1.65623 
377 -1.58104 1.11708 -1.74338 
378 -0.910722 0.98425 -1.02225 
379 2.45084 -2.34944 1.50505 
380 1.39371 0.803116 1.39144 
381 -0.302501 0.306297 -0.589656 
382 0.851073 1.03042 -1.56456 
383 0.621941 0.703511 -1.31193 
384 0.959176 0.0693004 0.604411 
385 -0.976851 -0.405787 -0.0700641 
386 1.92107 -0.0630271 -1.00134 
387 1.16596 2.67483 -0.881358 
388 -0.120313 -1.85586 -0.986927 
389 0.977192 0.665025 0.0817022 
390 2.16306 -2.30451 -0.519911 
391 0.99153 0.548263 -0.42252 
392 1.05947 -0.794994 1.63834 
393 0.419898 0.749991 2.12369 
394 0.433242 -0.667475 -1.63906 
395 -0.239035 0.654629 0.711833 
396 -0.39553 -1.70397 0.172844 
397 1.51286 -1.99699 -1.69582 
398 0.767707 -1.08904 -1.82818 
399 -0.791197 0.301181 -3.14019 
400 -0.722848 0.00766431 0.504823 
401 -0.906854 0.727935 0.485614 
402 -0.152059 1.20146 -0.0712742 
403 1.06983 2.07651 -0.62227 
404 -0.863091 1.73701 -1.19941 
405 1.70067 1.61642 -0.634021 
406 0.478923 -0.540017 0.333047 
407 -0.116529 1.26796 0.283023 
408 1.52755 1.57443 2.27047 
409 0.608172 -1.42991 -2.2841 
410 -0.084443 -1.05168 0.51328 
411 -0.16743 -1.16662 0.638948 
412 0.581243 1.17173 0.170863 
413 -0.265247 -0.531138 0.345382 
414 -2.23961 -0.215194 1.14937 
415 0.285185 -0.441376 0.153655 
416 -1.6879 -0.312492 1.70162 
417 1.66244 -0.974761 -0.573607 
418 -1.39955 1.64962 0.674525 
419 -0.161911 0.897193 0.76652 
420 1.41562 -0.648032 -1.26036 
421 -0.195275 0.497048 -0.616382 
422 0.339804 -0.338422 0.811924 
423 0.00331879 -0.290088 0.60404 
424 -0.420549 0.870453 -0.72549 
425 -1.06442 0.391307 0.159754 
426 -0.00599892 -0.0566083 0.36653 
427 0.0245377 -0.618372 -0.505195 
428 -2.14656 -0.265807 0.0606938 
429 -0.66354 -0.274492 -0.595998 
430 0.663161 0.827532 0.843842 
431 0.162437 1.57266 0.339785 
432 -0.879371 0.505812 -0.646708 
433 1.3332 -0.567504 -0.000893437 
434 -2.04843 -0.00954206 3.42459 
435 1.0223 0.640391 1.23961 
436 -0.361523 -0.515827 -0.575484 
437 0.932157 0.529789 -0.800121 
438 2.40603 -0.28822 -0.172991 
439 1.68102 1.35189 0.987011 
440 0.172146 -0.372385 1.10347 
441 0.719486 0.409616 0.218893 
442 0.345713 -0.0605887 -0.883856 
443 1.60003 -0.611421 0.0372437 
444 1.87263 -0.39573 -0.718954 
445 -1.80108 3.35168 -0.95037 
446 0.567067 0.678735 -2.1457 
447 0.819558 -1.76328 -1.69955 
448 0.798661 -0.708399 0.657162 
449 1.97361 0.563858 -0.62276 
450 -1.75331 -0.8528 0.10852 
451 0.384992 0.823015 0.192374 
452 0.323269 -0.296948 -0.648998 
453 1.22408 0.432685 0.410336 
454 1.73683 -1.44513 0.514083 
455 -1.31926 -1.45607 0.716676 
